date,agent_equity,agent_return,spy_equity,spy_return,agent_drawdown,spy_drawdown
2026-05-01,100.01791462256806,0.00017914622568060423,99.91681447681975,-0.0008318552318025141,0.0,0.0
2026-05-04,99.65985969506127,-0.003401403049387297,99.55078125,-0.004492187500000022,-0.0035799079480707263,-0.0036633796697418397
2026-05-05,100.5395238808706,0.00539523880870596,100.3493961221837,0.003493961221836983,0.0,0.0
2026-05-06,102.39758415287193,0.023975841528719233,101.74419647692808,0.017441964769280727,0.0,0.0
2026-05-07,101.99909774050403,0.01999097740504019,101.43223807138214,0.014322380713821525,-0.0038915606814804438,-0.0030661051573264153
2026-05-08,102.44875877411437,0.02448758774114368,102.26967003357886,0.022696700335788522,0.0,0.0
2026-05-11,101.90621587705137,0.01906215877051376,102.50259796089688,0.025025979608968685,-0.005295748855866922,0.0
2026-05-12,101.6172163403439,0.016172163403439077,102.34731267601819,0.023473126760181984,-0.008116666748534285,-0.0015149399914520245
2026-05-13,102.51841436229202,0.025184143622920097,102.91993033741335,0.029199303374133567,0.0,0.0
2026-05-14,103.13582828634904,0.031358282863490405,103.73240664265597,0.03732406642655972,0.0,0.0
2026-05-15,101.61106332604298,0.01611063326042972,102.48457302047227,0.024845730204722694,-0.014784047266994893,-0.012029351892724582
