date,signal_date,ticker,target_weight
2024-05-01,2024-04-30,V,0.215309
2024-05-01,2024-04-30,MA,0.187895
2024-05-01,2024-04-30,MRK,0.172679
2024-05-01,2024-04-30,XOM,0.162389
2024-05-01,2024-04-30,JNJ,0.161728
2024-06-03,2024-05-31,MA,0.221358
2024-06-03,2024-05-31,QQQ,0.212985
2024-06-03,2024-05-31,V,0.191338
2024-06-03,2024-05-31,MRK,0.142686
2024-06-03,2024-05-31,MSFT,0.131633
2024-07-01,2024-06-28,JNJ,0.198373
2024-07-01,2024-06-28,QQQ,0.180516
2024-07-01,2024-06-28,MA,0.177813
2024-07-01,2024-06-28,LLY,0.174142
2024-07-01,2024-06-28,MSFT,0.169156
2024-08-01,2024-07-31,XOM,0.192411
2024-08-01,2024-07-31,PFE,0.185502
2024-08-01,2024-07-31,V,0.177627
2024-08-01,2024-07-31,JPM,0.175238
2024-08-01,2024-07-31,JNJ,0.169223
2024-09-03,2024-08-30,JNJ,0.216614
2024-09-03,2024-08-30,ABBV,0.191131
2024-09-03,2024-08-30,JPM,0.181279
2024-09-03,2024-08-30,UNH,0.166061
2024-09-03,2024-08-30,BAC,0.144915
2024-10-01,2024-09-30,JNJ,0.224222
2024-10-01,2024-09-30,MA,0.194971
2024-10-01,2024-09-30,UNH,0.189095
2024-10-01,2024-09-30,ABBV,0.158472
2024-10-01,2024-09-30,PFE,0.13324
2024-11-01,2024-10-31,JNJ,0.221451
2024-11-01,2024-10-31,MA,0.193069
2024-11-01,2024-10-31,QQQ,0.185822
2024-11-01,2024-10-31,V,0.162528
2024-11-01,2024-10-31,JPM,0.13713
2024-12-02,2024-11-29,JNJ,0.217747
2024-12-02,2024-11-29,AAPL,0.188122
2024-12-02,2024-11-29,QQQ,0.175792
2024-12-02,2024-11-29,MA,0.170114
2024-12-02,2024-11-29,V,0.148225
2025-01-02,2024-12-31,MA,0.205618
2025-01-02,2024-12-31,V,0.187759
2025-01-02,2024-12-31,AAPL,0.184464
2025-01-02,2024-12-31,JPM,0.16372
2025-01-02,2024-12-31,MSFT,0.158439
2025-02-03,2025-01-31,V,0.210884
2025-02-03,2025-01-31,JPM,0.210591
2025-02-03,2025-01-31,MRK,0.160799
2025-02-03,2025-01-31,BAC,0.160505
2025-02-03,2025-01-31,QQQ,0.15722
2025-03-03,2025-02-28,V,0.219472
2025-03-03,2025-02-28,MA,0.198795
2025-03-03,2025-02-28,JNJ,0.188406
2025-03-03,2025-02-28,PFE,0.154298
2025-03-03,2025-02-28,ABBV,0.139028
2025-04-01,2025-03-31,JNJ,0.253732
2025-04-01,2025-03-31,PFE,0.172628
2025-04-01,2025-03-31,UNH,0.170856
2025-04-01,2025-03-31,XOM,0.153169
2025-04-01,2025-03-31,ABBV,0.149616
2025-05-01,2025-04-30,JNJ,0.273316
2025-05-01,2025-04-30,PFE,0.184404
2025-05-01,2025-04-30,MA,0.150004
2025-05-01,2025-04-30,V,0.147415
2025-05-01,2025-04-30,MSFT,0.144861
2025-06-02,2025-05-30,V,0.224582
2025-06-02,2025-05-30,MSFT,0.202078
2025-06-02,2025-05-30,MA,0.190898
2025-06-02,2025-05-30,JPM,0.181268
2025-06-02,2025-05-30,AVGO,0.101174
2025-07-01,2025-06-30,MSFT,0.219344
2025-07-01,2025-06-30,QQQ,0.187771
2025-07-01,2025-06-30,JNJ,0.180502
2025-07-01,2025-06-30,BAC,0.158728
2025-07-01,2025-06-30,JPM,0.153656
2025-08-01,2025-07-31,QQQ,0.277251
2025-08-01,2025-07-31,AAPL,0.224153
2025-08-01,2025-07-31,MSFT,0.158288
2025-08-01,2025-07-31,XOM,0.12771
2025-08-01,2025-07-31,NVDA,0.112599
2025-09-02,2025-08-29,JNJ,0.210354
2025-09-02,2025-08-29,ABBV,0.193602
2025-09-02,2025-08-29,QQQ,0.18593
2025-09-02,2025-08-29,JPM,0.176733
2025-09-02,2025-08-29,BAC,0.133381
2025-10-01,2025-09-30,QQQ,0.276542
2025-10-01,2025-09-30,BAC,0.173982
2025-10-01,2025-09-30,JNJ,0.17142
2025-10-01,2025-09-30,MSFT,0.162133
2025-10-01,2025-09-30,ABBV,0.115924
2025-11-03,2025-10-31,JNJ,0.26803
2025-11-03,2025-10-31,MRK,0.184673
2025-11-03,2025-10-31,XOM,0.179673
2025-11-03,2025-10-31,MSFT,0.148477
2025-11-03,2025-10-31,AAPL,0.119147
2025-12-01,2025-11-28,JNJ,0.204247
2025-12-01,2025-11-28,AAPL,0.191881
2025-12-01,2025-11-28,V,0.181692
2025-12-01,2025-11-28,XOM,0.17442
2025-12-01,2025-11-28,BAC,0.147762
2026-01-02,2025-12-31,AAPL,0.260586
2026-01-02,2025-12-31,QQQ,0.192911
2026-01-02,2025-12-31,BAC,0.181734
2026-01-02,2025-12-31,JNJ,0.133261
2026-01-02,2025-12-31,XOM,0.131508
2026-02-02,2026-01-30,QQQ,0.246721
2026-02-02,2026-01-30,JNJ,0.197928
2026-02-02,2026-01-30,PFE,0.172405
2026-02-02,2026-01-30,MRK,0.15928
2026-02-02,2026-01-30,XOM,0.123665
2026-03-02,2026-02-27,JNJ,0.257251
2026-03-02,2026-02-27,QQQ,0.211277
2026-03-02,2026-02-27,PFE,0.148292
2026-03-02,2026-02-27,ABBV,0.14291
2026-03-02,2026-02-27,MRK,0.14027
2026-04-01,2026-03-31,JNJ,0.240186
2026-04-01,2026-03-31,V,0.193489
2026-04-01,2026-03-31,AAPL,0.190102
2026-04-01,2026-03-31,XOM,0.174444
2026-04-01,2026-03-31,NVDA,0.101778
2026-05-01,2026-04-30,QQQ,0.254408
2026-05-01,2026-04-30,BAC,0.21291
2026-05-01,2026-04-30,JPM,0.198978
2026-05-01,2026-04-30,V,0.11988
2026-05-01,2026-04-30,NVDA,0.113825
